"","Area","Element","Item","Value"
"10082","EASTERN EUROPE","Production","Wood fuel",500
"10083","EASTERN EUROPE","Import Quantity","Wood fuel",2569
"10084","EASTERN EUROPE","Export Quantity","Wood fuel",303
"10085","EASTERN EUROPE","Production","Wood chips and particles",3e+05
"10086","EASTERN EUROPE","Import Quantity","Wood chips and particles",196165
"10087","EASTERN EUROPE","Export Quantity","Wood chips and particles",389054
"10088","EASTERN EUROPE","Production","Wood residues",8e+05
"10089","EASTERN EUROPE","Import Quantity","Wood residues",135286
"10090","EASTERN EUROPE","Export Quantity","Wood residues",345769
"10091","EASTERN EUROPE","Production","Wood fuel",115000
"10092","EASTERN EUROPE","Import Quantity","Wood fuel",202022
"10093","EASTERN EUROPE","Export Quantity","Wood fuel",137855
"10094","EASTERN EUROPE","Production","Other agglomerates",5000
"10095","EASTERN EUROPE","Import Quantity","Other agglomerates",27002
"10096","EASTERN EUROPE","Export Quantity","Other agglomerates",29790
"10097","EASTERN EUROPE","Production","Sawnwood",625000
"10098","EASTERN EUROPE","Import Quantity","Sawnwood",955486
"10099","EASTERN EUROPE","Export Quantity","Sawnwood",775392
"10100","EASTERN EUROPE","Production","Sawnwood",105000
"10101","EASTERN EUROPE","Import Quantity","Sawnwood",102796
"10102","EASTERN EUROPE","Export Quantity","Sawnwood",111306
"10103","EASTERN EUROPE","Production","Veneer sheets",24000
"10104","EASTERN EUROPE","Import Quantity","Veneer sheets",11799
"10105","EASTERN EUROPE","Export Quantity","Veneer sheets",23180
"10106","EASTERN EUROPE","Production","Plywood",86000
"10107","EASTERN EUROPE","Import Quantity","Plywood",40542
"10108","EASTERN EUROPE","Export Quantity","Plywood",67804
"10110","EASTERN EUROPE","Import Quantity","Particle board",149012
"10111","EASTERN EUROPE","Export Quantity","Particle board",6289
"10113","EASTERN EUROPE","Import Quantity","OSB",34398
"10114","EASTERN EUROPE","Export Quantity","OSB",1055
"10116","EASTERN EUROPE","Import Quantity","Hardboard",12622
"10117","EASTERN EUROPE","Export Quantity","Hardboard",12127
"10118","EASTERN EUROPE","Production","MDF/HDF",130000
"10119","EASTERN EUROPE","Import Quantity","MDF/HDF",44851
"10120","EASTERN EUROPE","Export Quantity","MDF/HDF",135811
"10122","EASTERN EUROPE","Import Quantity","Other fibreboard",512
"10123","EASTERN EUROPE","Export Quantity","Other fibreboard",226
"10124","EASTERN EUROPE","Production","Wood pulp",85000
"10125","EASTERN EUROPE","Import Quantity","Wood pulp",3036
"10126","EASTERN EUROPE","Export Quantity","Wood pulp",8754
"10128","EASTERN EUROPE","Import Quantity","Wood pulp",4790
"10131","EASTERN EUROPE","Import Quantity","Wood pulp",239141
"10132","EASTERN EUROPE","Export Quantity","Wood pulp",4398
"10134","EASTERN EUROPE","Import Quantity","Wood pulp",21531
"10137","EASTERN EUROPE","Import Quantity","Wood pulp",207833
"10138","EASTERN EUROPE","Export Quantity","Wood pulp",4394
"10140","EASTERN EUROPE","Import Quantity","Wood pulp",1
"10143","EASTERN EUROPE","Import Quantity","Wood pulp",9776
"10144","EASTERN EUROPE","Export Quantity","Wood pulp",4
"10146","EASTERN EUROPE","Import Quantity","Wood pulp",6
"10149","EASTERN EUROPE","Import Quantity","Pulp from fibres other than wood",161
"10150","EASTERN EUROPE","Export Quantity","Pulp from fibres other than wood",17
"10151","EASTERN EUROPE","Production","Paper",170000
"10152","EASTERN EUROPE","Import Quantity","Paper",312789
"10153","EASTERN EUROPE","Export Quantity","Paper",146055
"10154","EASTERN EUROPE","Production","Newsprint",135605
"10155","EASTERN EUROPE","Import Quantity","Newsprint",12723
"10156","EASTERN EUROPE","Export Quantity","Newsprint",154397
"10157","EASTERN EUROPE","Production","Paper",228625
"10158","EASTERN EUROPE","Import Quantity","Paper",229644
"10159","EASTERN EUROPE","Export Quantity","Paper",242892
"10161","EASTERN EUROPE","Import Quantity","Paper",55369
"10162","EASTERN EUROPE","Export Quantity","Paper",5562
"10163","EASTERN EUROPE","Production","Paper",77088
"10164","EASTERN EUROPE","Import Quantity","Paper",89366
"10165","EASTERN EUROPE","Export Quantity","Paper",83004
"10166","EASTERN EUROPE","Production","Paper",151537
"10167","EASTERN EUROPE","Import Quantity","Paper",84909
"10168","EASTERN EUROPE","Export Quantity","Paper",154326
"10169","EASTERN EUROPE","Production","Paper",365769
"10170","EASTERN EUROPE","Import Quantity","Paper",405605
"10171","EASTERN EUROPE","Export Quantity","Paper",244364
"10172","EASTERN EUROPE","Production","Paper",48039
"10173","EASTERN EUROPE","Import Quantity","Paper",6492
"10174","EASTERN EUROPE","Export Quantity","Paper",3890
"10175","EASTERN EUROPE","Production","Paper",314907
"10176","EASTERN EUROPE","Import Quantity","Paper",398648
"10177","EASTERN EUROPE","Export Quantity","Paper",240319
"10179","EASTERN EUROPE","Import Quantity","Case materials",156689
"10180","EASTERN EUROPE","Export Quantity","Case materials",3083
"10181","EASTERN EUROPE","Production","Cartonboard",225832
"10182","EASTERN EUROPE","Import Quantity","Cartonboard",82859
"10183","EASTERN EUROPE","Export Quantity","Cartonboard",232536
"10184","EASTERN EUROPE","Production","Paper",63807
"10185","EASTERN EUROPE","Import Quantity","Paper",154065
"10186","EASTERN EUROPE","Export Quantity","Paper",2141
"10187","EASTERN EUROPE","Production","Paper",25268
"10188","EASTERN EUROPE","Import Quantity","Paper",5035
"10189","EASTERN EUROPE","Export Quantity","Paper",2559
"10190","EASTERN EUROPE","Production","Paper",2823
"10191","EASTERN EUROPE","Import Quantity","Paper",465
"10192","EASTERN EUROPE","Export Quantity","Paper",155
"10194","OCEAN","Production","Wood fuel",133884
"10196","OCEAN","Import Quantity","Roundwood",135
"10197","OCEAN","Export Quantity","Roundwood",114656
"10198","OCEAN","Export Quantity","Roundwood",1700000
"10200","OCEAN","Production","Sawlogs and veneer logs",2345000
"10201","OCEAN","Production","Wood fuel",1438
"10202","OCEAN","Import Quantity","Wood fuel",26
"10203","OCEAN","Export Quantity","Wood fuel",2
"10204","OCEAN","Import Quantity","Wood chips and particles",300
"10205","OCEAN","Export Quantity","Wood chips and particles",4835
"10206","OCEAN","Import Quantity","Sawnwood",50
"10207","OCEAN","Export Quantity","Sawnwood",1886
"10208","OCEAN","Production","Sawnwood",40000
"10209","OCEAN","Import Quantity","Sawnwood",267
"10210","OCEAN","Export Quantity","Sawnwood",18050
"10212","OCEAN","Import Quantity","Veneer sheets",42
"10213","OCEAN","Export Quantity","Veneer sheets",2762
"10214","OCEAN","Import Quantity","Plywood",1716
"10215","OCEAN","Export Quantity","Plywood",84
"10216","OCEAN","Import Quantity","Particle board",164
"10217","OCEAN","Import Quantity","OSB",55
"10218","OCEAN","Import Quantity","Hardboard",55
"10219","OCEAN","Export Quantity","Hardboard",38
"10220","OCEAN","Import Quantity","MDF/HDF",2912
"10221","OCEAN","Import Quantity","Other fibreboard",2
"10222","OCEAN","Import Quantity","Wood pulp",18
"10223","OCEAN","Import Quantity","Pulp from fibres other than wood",38
"10224","OCEAN","Import Quantity","Paper",2
"10225","OCEAN","Export Quantity","Paper",17
"10226","OCEAN","Import Quantity","Newsprint",558
"10227","OCEAN","Import Quantity","Paper",226
"10228","OCEAN","Export Quantity","Paper",3
"10229","OCEAN","Import Quantity","Paper",8
"10230","OCEAN","Export Quantity","Paper",3
"10231","OCEAN","Import Quantity","Paper",150
"10232","OCEAN","Import Quantity","Paper",68
"10233","OCEAN","Import Quantity","Paper",377
"10235","OCEAN","Import Quantity","Paper",139
"10236","OCEAN","Import Quantity","Paper",60
"10237","OCEAN","Import Quantity","Case materials",21
"10238","OCEAN","Import Quantity","Cartonboard",11
"10239","OCEAN","Import Quantity","Paper",25
"10240","OCEAN","Import Quantity","Paper",3
"10241","OCEAN","Import Quantity","Paper",178
"10243","SUB-SAHARAN AFRICA","Production","Wood fuel",14820680
"10244","SUB-SAHARAN AFRICA","Import Quantity","Wood fuel",23
"10245","SUB-SAHARAN AFRICA","Export Quantity","Wood fuel",813
"10246","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",36
"10247","SUB-SAHARAN AFRICA","Export Quantity","Roundwood",269
"10248","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",173
"10249","SUB-SAHARAN AFRICA","Export Quantity","Roundwood",68
"10250","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",244
"10251","SUB-SAHARAN AFRICA","Export Quantity","Roundwood",319
"10252","SUB-SAHARAN AFRICA","Production","Sawlogs and veneer logs",28000
"10253","SUB-SAHARAN AFRICA","Production","Roundwood",82000
"10254","SUB-SAHARAN AFRICA","Production","Wood fuel",1224642
"10255","SUB-SAHARAN AFRICA","Export Quantity","Wood fuel",500
"10256","SUB-SAHARAN AFRICA","Import Quantity","Sawnwood",134000
"10257","SUB-SAHARAN AFRICA","Export Quantity","Sawnwood",3
"10258","SUB-SAHARAN AFRICA","Production","Sawnwood",14000
"10259","SUB-SAHARAN AFRICA","Import Quantity","Sawnwood",4961
"10260","SUB-SAHARAN AFRICA","Export Quantity","Sawnwood",20
"10261","SUB-SAHARAN AFRICA","Import Quantity","Veneer sheets",5
"10262","SUB-SAHARAN AFRICA","Import Quantity","Plywood",11756
"10265","SUB-SAHARAN AFRICA","Import Quantity","Particle board",52
"10267","SUB-SAHARAN AFRICA","Import Quantity","Hardboard",866
"10268","SUB-SAHARAN AFRICA","Import Quantity","MDF/HDF",9178
"10269","SUB-SAHARAN AFRICA","Import Quantity","Other fibreboard",51
"10270","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",45
"10271","SUB-SAHARAN AFRICA","Export Quantity","Wood pulp",93
"10273","SUB-SAHARAN AFRICA","Export Quantity","Wood pulp",20
"10274","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",45
"10275","SUB-SAHARAN AFRICA","Export Quantity","Wood pulp",73
"10276","SUB-SAHARAN AFRICA","Import Quantity","Paper",16
"10277","SUB-SAHARAN AFRICA","Export Quantity","Paper",88
"10278","SUB-SAHARAN AFRICA","Import Quantity","Newsprint",10
"10279","SUB-SAHARAN AFRICA","Export Quantity","Newsprint",74
"10280","SUB-SAHARAN AFRICA","Import Quantity","Paper",1716
"10281","SUB-SAHARAN AFRICA","Export Quantity","Paper",36
"10282","SUB-SAHARAN AFRICA","Import Quantity","Paper",211
"10283","SUB-SAHARAN AFRICA","Export Quantity","Paper",13
"10284","SUB-SAHARAN AFRICA","Import Quantity","Paper",1277
"10285","SUB-SAHARAN AFRICA","Import Quantity","Paper",228
"10286","SUB-SAHARAN AFRICA","Export Quantity","Paper",23
"10287","SUB-SAHARAN AFRICA","Import Quantity","Paper",137
"10288","SUB-SAHARAN AFRICA","Export Quantity","Paper",41
"10289","SUB-SAHARAN AFRICA","Import Quantity","Paper",35
"10290","SUB-SAHARAN AFRICA","Import Quantity","Paper",60
"10291","SUB-SAHARAN AFRICA","Export Quantity","Paper",28
"10292","SUB-SAHARAN AFRICA","Import Quantity","Case materials",7
"10293","SUB-SAHARAN AFRICA","Export Quantity","Case materials",24
"10294","SUB-SAHARAN AFRICA","Import Quantity","Cartonboard",6
"10295","SUB-SAHARAN AFRICA","Export Quantity","Cartonboard",4
"10296","SUB-SAHARAN AFRICA","Import Quantity","Paper",47
"10297","SUB-SAHARAN AFRICA","Import Quantity","Paper",42
"10298","SUB-SAHARAN AFRICA","Export Quantity","Paper",13
"10300","NORTHERN AFRICA","Production","Wood fuel",4652000
"10301","NORTHERN AFRICA","Export Quantity","Roundwood",40
"10302","NORTHERN AFRICA","Production","Wood fuel",278000
"10303","NORTHERN AFRICA","Import Quantity","Sawnwood",18
"10304","NORTHERN AFRICA","Export Quantity","Sawnwood",18
"10305","NORTHERN AFRICA","Import Quantity","Plywood",185
"10306","NORTHERN AFRICA","Import Quantity","MDF/HDF",20
"10307","NORTHERN AFRICA","Import Quantity","Paper",18
"10308","NORTHERN AFRICA","Import Quantity","Paper",1
"10310","NORTHERN AFRICA","Import Quantity","Paper",17
"10311","NORTHERN AFRICA","Import Quantity","Paper",5
"10312","NORTHERN AFRICA","Import Quantity","Paper",4
"10313","NORTHERN AFRICA","Import Quantity","Paper",1
"10314","WESTERN EUROPE","Production","Wood fuel",2895890
"10315","WESTERN EUROPE","Production","Wood fuel",1626981
"10316","WESTERN EUROPE","Import Quantity","Wood fuel",14287
"10317","WESTERN EUROPE","Export Quantity","Wood fuel",135600
"10318","WESTERN EUROPE","Import Quantity","Roundwood",376689
"10319","WESTERN EUROPE","Export Quantity","Roundwood",720638
"10320","WESTERN EUROPE","Import Quantity","Roundwood",4056
"10321","WESTERN EUROPE","Export Quantity","Roundwood",340
"10322","WESTERN EUROPE","Import Quantity","Roundwood",215287
"10323","WESTERN EUROPE","Export Quantity","Roundwood",1245171
"10324","WESTERN EUROPE","Production","Sawlogs and veneer logs",2897480
"10325","WESTERN EUROPE","Production","Sawlogs and veneer logs",976598
"10326","WESTERN EUROPE","Production","Pulpwood",3106665
"10327","WESTERN EUROPE","Production","Pulpwood",6060307
"10328","WESTERN EUROPE","Production","Roundwood",117775
"10329","WESTERN EUROPE","Production","Roundwood",166164
"10330","WESTERN EUROPE","Production","Wood fuel",35960
"10331","WESTERN EUROPE","Import Quantity","Wood fuel",30731
"10332","WESTERN EUROPE","Export Quantity","Wood fuel",31742
"10333","WESTERN EUROPE","Production","Wood chips and particles",1485813
"10334","WESTERN EUROPE","Import Quantity","Wood chips and particles",23150
"10335","WESTERN EUROPE","Export Quantity","Wood chips and particles",142609
"10336","WESTERN EUROPE","Production","Wood residues",1734162
"10337","WESTERN EUROPE","Import Quantity","Wood residues",79932
"10338","WESTERN EUROPE","Export Quantity","Wood residues",324243
"10339","WESTERN EUROPE","Production","Wood fuel",428133
"10340","WESTERN EUROPE","Import Quantity","Wood fuel",26141
"10341","WESTERN EUROPE","Export Quantity","Wood fuel",84304
"10342","WESTERN EUROPE","Production","Other agglomerates",43627
"10343","WESTERN EUROPE","Import Quantity","Other agglomerates",3758
"10344","WESTERN EUROPE","Export Quantity","Other agglomerates",14389
"10345","WESTERN EUROPE","Production","Sawnwood",2100000
"10346","WESTERN EUROPE","Import Quantity","Sawnwood",918479
"10347","WESTERN EUROPE","Export Quantity","Sawnwood",179558
"10348","WESTERN EUROPE","Production","Sawnwood",4e+05
"10349","WESTERN EUROPE","Import Quantity","Sawnwood",164181
"10350","WESTERN EUROPE","Export Quantity","Sawnwood",33691
"10351","WESTERN EUROPE","Production","Veneer sheets",187096
"10352","WESTERN EUROPE","Import Quantity","Veneer sheets",138159
"10353","WESTERN EUROPE","Export Quantity","Veneer sheets",38991
"10354","WESTERN EUROPE","Production","Plywood",378525
"10355","WESTERN EUROPE","Import Quantity","Plywood",153895
"10356","WESTERN EUROPE","Export Quantity","Plywood",251693
"10357","WESTERN EUROPE","Production","Particle board",1753201
"10358","WESTERN EUROPE","Import Quantity","Particle board",473394
"10359","WESTERN EUROPE","Export Quantity","Particle board",596689
"10360","WESTERN EUROPE","Production","OSB",1799
"10361","WESTERN EUROPE","Import Quantity","OSB",26012
"10362","WESTERN EUROPE","Export Quantity","OSB",2448
"10363","WESTERN EUROPE","Production","Hardboard",24505
"10364","WESTERN EUROPE","Import Quantity","Hardboard",48381
"10365","WESTERN EUROPE","Export Quantity","Hardboard",49392
"10366","WESTERN EUROPE","Production","MDF/HDF",1520000
"10367","WESTERN EUROPE","Import Quantity","MDF/HDF",379677
"10368","WESTERN EUROPE","Export Quantity","MDF/HDF",1139216
"10369","WESTERN EUROPE","Production","Other fibreboard",84886
"10370","WESTERN EUROPE","Import Quantity","Other fibreboard",7725
"10371","WESTERN EUROPE","Export Quantity","Other fibreboard",44586
"10372","WESTERN EUROPE","Production","Wood pulp",90000
"10373","WESTERN EUROPE","Import Quantity","Wood pulp",307
"10374","WESTERN EUROPE","Export Quantity","Wood pulp",18381
"10376","WESTERN EUROPE","Import Quantity","Wood pulp",37629
"10378","WESTERN EUROPE","Production","Wood pulp",1562900
"10379","WESTERN EUROPE","Import Quantity","Wood pulp",1072236
"10380","WESTERN EUROPE","Export Quantity","Wood pulp",886211
"10382","WESTERN EUROPE","Import Quantity","Wood pulp",4169
"10383","WESTERN EUROPE","Export Quantity","Wood pulp",280
"10384","WESTERN EUROPE","Production","Wood pulp",1562900
"10385","WESTERN EUROPE","Import Quantity","Wood pulp",1067056
"10386","WESTERN EUROPE","Export Quantity","Wood pulp",885818
"10388","WESTERN EUROPE","Import Quantity","Wood pulp",26
"10391","WESTERN EUROPE","Import Quantity","Wood pulp",985
"10392","WESTERN EUROPE","Export Quantity","Wood pulp",113
"10393","WESTERN EUROPE","Production","Wood pulp",23600
"10394","WESTERN EUROPE","Import Quantity","Wood pulp",17378
"10395","WESTERN EUROPE","Export Quantity","Wood pulp",2816
"10396","WESTERN EUROPE","Production","Pulp from fibres other than wood",770000
"10397","WESTERN EUROPE","Import Quantity","Pulp from fibres other than wood",5103
"10398","WESTERN EUROPE","Export Quantity","Pulp from fibres other than wood",16863
"10399","WESTERN EUROPE","Production","Paper",4710300
"10400","WESTERN EUROPE","Import Quantity","Paper",1638323
"10401","WESTERN EUROPE","Export Quantity","Paper",1152768
"10402","WESTERN EUROPE","Production","Newsprint",222401
"10403","WESTERN EUROPE","Import Quantity","Newsprint",128722
"10404","WESTERN EUROPE","Export Quantity","Newsprint",317403
"10405","WESTERN EUROPE","Production","Paper",1154700
"10406","WESTERN EUROPE","Import Quantity","Paper",1094478
"10407","WESTERN EUROPE","Export Quantity","Paper",944175
"10408","WESTERN EUROPE","Production","Paper",727771
"10409","WESTERN EUROPE","Import Quantity","Paper",194444
"10410","WESTERN EUROPE","Export Quantity","Paper",49050
"10412","WESTERN EUROPE","Import Quantity","Paper",289837
"10413","WESTERN EUROPE","Export Quantity","Paper",246523
"10414","WESTERN EUROPE","Production","Paper",426929
"10415","WESTERN EUROPE","Import Quantity","Paper",610197
"10416","WESTERN EUROPE","Export Quantity","Paper",648602
"10417","WESTERN EUROPE","Production","Paper",4841400
"10418","WESTERN EUROPE","Import Quantity","Paper",1905016
"10419","WESTERN EUROPE","Export Quantity","Paper",1426671
"10420","WESTERN EUROPE","Production","Paper",723300
"10421","WESTERN EUROPE","Import Quantity","Paper",68991
"10422","WESTERN EUROPE","Export Quantity","Paper",74631
"10423","WESTERN EUROPE","Production","Paper",3639800
"10424","WESTERN EUROPE","Import Quantity","Paper",1701118
"10425","WESTERN EUROPE","Export Quantity","Paper",1309969
"10426","WESTERN EUROPE","Production","Case materials",2879700
"10427","WESTERN EUROPE","Import Quantity","Case materials",958014
"10428","WESTERN EUROPE","Export Quantity","Case materials",667223
"10429","WESTERN EUROPE","Production","Cartonboard",266800
"10430","WESTERN EUROPE","Import Quantity","Cartonboard",463997
"10431","WESTERN EUROPE","Export Quantity","Cartonboard",270128
"10433","WESTERN EUROPE","Import Quantity","Paper",208909
"10434","WESTERN EUROPE","Export Quantity","Paper",269462
"10435","WESTERN EUROPE","Production","Paper",493300
"10436","WESTERN EUROPE","Import Quantity","Paper",70198
"10437","WESTERN EUROPE","Export Quantity","Paper",103156
"10438","WESTERN EUROPE","Production","Paper",478300
"10439","WESTERN EUROPE","Import Quantity","Paper",134907
"10440","WESTERN EUROPE","Export Quantity","Paper",42071
"10442","ASIA (EX. NEAR EAST)","Production","Wood fuel",4763063
"10443","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",4
"10444","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",536
"10445","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",1777
"10446","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",220
"10447","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",484
"10448","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",10
"10449","ASIA (EX. NEAR EAST)","Import Quantity","Roundwood",664
"10450","ASIA (EX. NEAR EAST)","Export Quantity","Roundwood",24
"10451","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",23000
"10452","ASIA (EX. NEAR EAST)","Production","Sawlogs and veneer logs",11000
"10453","ASIA (EX. NEAR EAST)","Production","Roundwood",577000
"10454","ASIA (EX. NEAR EAST)","Production","Wood fuel",1767
"10455","ASIA (EX. NEAR EAST)","Import Quantity","Wood fuel",22404
"10456","ASIA (EX. NEAR EAST)","Export Quantity","Wood fuel",5208
"10457","ASIA (EX. NEAR EAST)","Import Quantity","Wood chips and particles",1
"10458","ASIA (EX. NEAR EAST)","Export Quantity","Wood chips and particles",22
"10459","ASIA (EX. NEAR EAST)","Production","Wood residues",3000
"10460","ASIA (EX. NEAR EAST)","Import Quantity","Wood residues",53
"10461","ASIA (EX. NEAR EAST)","Export Quantity","Wood residues",3486
"10463","ASIA (EX. NEAR EAST)","Production","Sawnwood",30000
"10464","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",5014
"10465","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",40
"10466","ASIA (EX. NEAR EAST)","Production","Sawnwood",31000
"10467","ASIA (EX. NEAR EAST)","Import Quantity","Sawnwood",47777
"10468","ASIA (EX. NEAR EAST)","Export Quantity","Sawnwood",2555
"10469","ASIA (EX. NEAR EAST)","Production","Veneer sheets",5000
"10470","ASIA (EX. NEAR EAST)","Import Quantity","Veneer sheets",1207
"10471","ASIA (EX. NEAR EAST)","Export Quantity","Veneer sheets",10
"10472","ASIA (EX. NEAR EAST)","Production","Plywood",6000
"10473","ASIA (EX. NEAR EAST)","Import Quantity","Plywood",10423
"10474","ASIA (EX. NEAR EAST)","Export Quantity","Plywood",152
"10476","ASIA (EX. NEAR EAST)","Import Quantity","Particle board",1905
"10477","ASIA (EX. NEAR EAST)","Export Quantity","Particle board",6
"10478","ASIA (EX. NEAR EAST)","Import Quantity","OSB",32
"10479","ASIA (EX. NEAR EAST)","Import Quantity","Hardboard",2015
"10480","ASIA (EX. NEAR EAST)","Export Quantity","Hardboard",595
"10481","ASIA (EX. NEAR EAST)","Production","MDF/HDF",150000
"10482","ASIA (EX. NEAR EAST)","Import Quantity","MDF/HDF",19999
"10483","ASIA (EX. NEAR EAST)","Export Quantity","MDF/HDF",53015
"10484","ASIA (EX. NEAR EAST)","Import Quantity","Other fibreboard",709
"10485","ASIA (EX. NEAR EAST)","Export Quantity","Other fibreboard",59
"10486","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",3
"10487","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",23
"10488","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1063
"10489","ASIA (EX. NEAR EAST)","Production","Wood pulp",2600
"10490","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",3614
"10491","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",36
"10492","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1104
"10493","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",17
"10494","ASIA (EX. NEAR EAST)","Production","Wood pulp",2600
"10495","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",2504
"10496","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",2
"10498","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",6
"10499","ASIA (EX. NEAR EAST)","Export Quantity","Wood pulp",17
"10501","ASIA (EX. NEAR EAST)","Import Quantity","Wood pulp",1
"10502","ASIA (EX. NEAR EAST)","Production","Pulp from fibres other than wood",18500
"10503","ASIA (EX. NEAR EAST)","Import Quantity","Pulp from fibres other than wood",37
"10504","ASIA (EX. NEAR EAST)","Export Quantity","Pulp from fibres other than wood",77
"10505","ASIA (EX. NEAR EAST)","Production","Paper",160000
"10506","ASIA (EX. NEAR EAST)","Import Quantity","Paper",552
"10507","ASIA (EX. NEAR EAST)","Export Quantity","Paper",168494
"10508","ASIA (EX. NEAR EAST)","Import Quantity","Newsprint",69258
"10509","ASIA (EX. NEAR EAST)","Export Quantity","Newsprint",20
"10510","ASIA (EX. NEAR EAST)","Production","Paper",11000
"10511","ASIA (EX. NEAR EAST)","Import Quantity","Paper",99423
"10512","ASIA (EX. NEAR EAST)","Export Quantity","Paper",382
"10513","ASIA (EX. NEAR EAST)","Import Quantity","Paper",2105
"10514","ASIA (EX. NEAR EAST)","Export Quantity","Paper",15
"10515","ASIA (EX. NEAR EAST)","Production","Paper",11000
"10516","ASIA (EX. NEAR EAST)","Import Quantity","Paper",51805
"10517","ASIA (EX. NEAR EAST)","Export Quantity","Paper",81
"10518","ASIA (EX. NEAR EAST)","Import Quantity","Paper",45513
"10519","ASIA (EX. NEAR EAST)","Export Quantity","Paper",286
"10520","ASIA (EX. NEAR EAST)","Production","Paper",13500
"10521","ASIA (EX. NEAR EAST)","Import Quantity","Paper",209556
"10522","ASIA (EX. NEAR EAST)","Export Quantity","Paper",6565
"10523","ASIA (EX. NEAR EAST)","Import Quantity","Paper",2621
"10524","ASIA (EX. NEAR EAST)","Export Quantity","Paper",2
"10525","ASIA (EX. NEAR EAST)","Production","Paper",8500
"10526","ASIA (EX. NEAR EAST)","Import Quantity","Paper",196365
"10527","ASIA (EX. NEAR EAST)","Export Quantity","Paper",6082
"10528","ASIA (EX. NEAR EAST)","Import Quantity","Case materials",57445
"10529","ASIA (EX. NEAR EAST)","Export Quantity","Case materials",585
"10530","ASIA (EX. NEAR EAST)","Import Quantity","Cartonboard",110710
"10531","ASIA (EX. NEAR EAST)","Export Quantity","Cartonboard",4939
"10532","ASIA (EX. NEAR EAST)","Import Quantity","Paper",26472
"10533","ASIA (EX. NEAR EAST)","Export Quantity","Paper",417
"10534","ASIA (EX. NEAR EAST)","Import Quantity","Paper",1738
"10535","ASIA (EX. NEAR EAST)","Export Quantity","Paper",141
"10536","ASIA (EX. NEAR EAST)","Production","Paper",5000
"10537","ASIA (EX. NEAR EAST)","Import Quantity","Paper",10570
"10538","ASIA (EX. NEAR EAST)","Export Quantity","Paper",481
"10540","SUB-SAHARAN AFRICA","Production","Wood fuel",15313000
"10541","SUB-SAHARAN AFRICA","Import Quantity","Wood fuel",20819
"10542","SUB-SAHARAN AFRICA","Export Quantity","Wood fuel",852
"10544","SUB-SAHARAN AFRICA","Export Quantity","Roundwood",168
"10545","SUB-SAHARAN AFRICA","Import Quantity","Roundwood",40
"10546","SUB-SAHARAN AFRICA","Export Quantity","Roundwood",49
"10548","SUB-SAHARAN AFRICA","Production","Sawlogs and veneer logs",360000
"10549","SUB-SAHARAN AFRICA","Production","Pulpwood",301000
"10550","SUB-SAHARAN AFRICA","Production","Roundwood",496000
"10551","SUB-SAHARAN AFRICA","Production","Wood fuel",588000
"10552","SUB-SAHARAN AFRICA","Import Quantity","Wood fuel",7
"10553","SUB-SAHARAN AFRICA","Export Quantity","Wood fuel",200
"10554","SUB-SAHARAN AFRICA","Production","Wood chips and particles",383000
"10556","SUB-SAHARAN AFRICA","Production","Wood residues",106000
"10559","SUB-SAHARAN AFRICA","Import Quantity","Sawnwood",179
"10560","SUB-SAHARAN AFRICA","Production","Sawnwood",11000
"10561","SUB-SAHARAN AFRICA","Import Quantity","Sawnwood",73820
"10562","SUB-SAHARAN AFRICA","Export Quantity","Sawnwood",17
"10563","SUB-SAHARAN AFRICA","Import Quantity","Veneer sheets",995
"10564","SUB-SAHARAN AFRICA","Import Quantity","Plywood",773
"10566","SUB-SAHARAN AFRICA","Import Quantity","Particle board",38
"10567","SUB-SAHARAN AFRICA","Import Quantity","OSB",4
"10568","SUB-SAHARAN AFRICA","Import Quantity","Hardboard",10000
"10569","SUB-SAHARAN AFRICA","Import Quantity","MDF/HDF",17555
"10570","SUB-SAHARAN AFRICA","Import Quantity","Other fibreboard",21093
"10571","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",6
"10572","SUB-SAHARAN AFRICA","Import Quantity","Wood pulp",6
